"","time","population","Conc"
"14259",425600,"S",67528.5031701594
"14260",425700,"S",67502.819775882
"14261",425800,"S",67477.1440142324
"14262",425900,"S",67451.4758848889
"14263",426000,"S",67425.8153875278
"14264",426100,"S",67400.1625218246
"14265",426200,"S",67374.517287528
"14266",426300,"S",67348.8796842781
"14267",426400,"S",67323.2497116942
"14268",426500,"S",67297.6273694322
"14269",426600,"S",67272.012657117
"14270",426700,"S",67246.4055744136
"14271",426800,"S",67220.8061210119
"14272",426900,"S",67195.2142965798
"14273",427000,"S",67169.6301007762
"14274",427100,"S",67144.0535332557
"14275",427200,"S",67118.48459367
"14276",427300,"S",67092.9232816687
"14277",427400,"S",67067.3695969005
"14278",427500,"S",67041.8235390938
"14279",427600,"S",67016.2851078593
"14280",427700,"S",66990.7543027856
"14281",427800,"S",66965.2311235011
"14282",427900,"S",66939.7155696008
"14283",428000,"S",66914.2076407237
"14284",428100,"S",66888.7073365356
"14285",428200,"S",66863.2146566781
"14286",428300,"S",66837.7296007839
"14287",428400,"S",66812.2521684814
"14288",428500,"S",66786.7823593956
"14289",428600,"S",66761.3201731496
"14290",428700,"S",66735.8656093659
"14291",428800,"S",66710.4186677524
"14292",428900,"S",66684.9793478912
"14293",429000,"S",66659.5476493407
"14294",429100,"S",66634.1235717022
"14295",429200,"S",66608.7071145412
"14296",429300,"S",66583.2982774707
"14297",429400,"S",66557.8970601323
"14298",429500,"S",66532.5034621425
"14299",429600,"S",66507.1174831081
"14300",429700,"S",66481.7391226311
"14301",429800,"S",66456.3683803106
"14302",429900,"S",66431.0052557436
"14303",430000,"S",66405.6497485267
"14304",430100,"S",66380.3018583478
"14305",430200,"S",66354.9615847605
"14306",430300,"S",66329.6289272932
"14307",430400,"S",66304.3038855202
"14308",430500,"S",66278.9864589783
"14309",430600,"S",66253.6766472548
"14310",430700,"S",66228.374449968
"14311",430800,"S",66203.0798667094
"14312",430900,"S",66177.79289706
"14313",431000,"S",66152.513540596
"14314",431100,"S",66127.2417968908
"14315",431200,"S",66101.9776655155
"14316",431300,"S",66076.721146041
"14317",431400,"S",66051.4722381355
"14318",431500,"S",66026.2309413246
"14319",431600,"S",66000.9972551075
"14320",431700,"S",65975.771179032
"14321",431800,"S",65950.5527126063
"14322",431900,"S",65925.3418553924
"14323",432000,"S",65900.1386069852
"14324",432100,"S",65874.9429669516
"14325",432200,"S",65849.7549348473
"14326",432300,"S",65824.5745102232
"14327",432400,"S",65799.4016926271
"14328",432500,"S",65774.2364816049
"14329",432600,"S",65749.078876702
"14330",432700,"S",65723.9288775674
