time,population,Conc
199,I1,6503.741076054034
200,I1,6503.4966085092
0,I2,1
1,I2,2613.802796725392
2,I2,5821.218925105742
3,I2,7772.690750821125
4,I2,8731.19393259734
5,I2,9133.814495802095
6,I2,9264.10662750798
7,I2,9270.684534170521
8,I2,9224.219860412386
9,I2,9156.48948911806
10,I2,9081.262161175226
11,I2,9004.340456503694
12,I2,8928.10150683887
13,I2,8853.48786296031
14,I2,8780.846068693156
15,I2,8710.27771905288
16,I2,8641.785833489897
17,I2,8575.335573363705
18,I2,8510.87504186986
19,I2,8448.350207470367
20,I2,8387.703728066821
21,I2,8328.88014916798
22,I2,8271.82527796203
23,I2,8216.485931365429
24,I2,8162.810526651917
25,I2,8110.7490955457415
26,I2,8060.25312183367
27,I2,8011.275531489176
28,I2,7963.770659950408
29,I2,7917.694221693143
30,I2,7873.003266336382
31,I2,7829.656133730096
32,I2,7787.61241424286
33,I2,7746.832912839749
34,I2,7707.279614024393
35,I2,7668.915645069605
36,I2,7631.705246884759
37,I2,7595.613732480734
38,I2,7560.607453031939
39,I2,7526.653771444473
40,I2,7493.7210359522505
41,I2,7461.778548533611
42,I2,7430.796533110404
43,I2,7400.746107513011
44,I2,7371.599258027868
45,I2,7343.328814006048
46,I2,7315.908421939759
47,I2,7289.312521290283
48,I2,7263.5163186519885
49,I2,7238.495765762836
50,I2,7214.227538443089
51,I2,7190.688990184129
52,I2,7167.858255333756
53,I2,7145.71400854733
54,I2,7124.2356691111945
55,I2,7103.403184319796
56,I2,7083.19710111681
57,I2,7063.5985702263415
58,I2,7044.5893421060755
59,I2,7026.151634036958
60,I2,7008.2682360729805
61,I2,6990.922464851646
62,I2,6974.098232809853
63,I2,6957.7798792713365
64,I2,6941.952230723135
65,I2,6926.600492714206
66,I2,6911.710385511538
67,I2,6897.268007890705
68,I2,6883.259878253061
69,I2,6869.672930819268
70,I2,6856.494499070721
71,I2,6843.712313132951
72,I2,6831.314416757762
73,I2,6819.289238395676
74,I2,6807.625561364548
75,I2,6796.312568520054
76,I2,6785.339739100772
77,I2,6774.696837866532
78,I2,6764.3739318029375
79,I2,6754.361394073332
80,I2,6744.649893306753
81,I2,6735.2303796172455
82,I2,6726.094073854747
83,I2,6717.232459849989
84,I2,6708.63727743043
85,I2,6700.300515087109
86,I2,6692.21439377805
87,I2,6684.371402753102
88,I2,6676.76421699484
89,I2,6669.385767249792
90,I2,6662.229165710008
91,I2,6655.287731290275
92,I2,6648.554989335441
93,I2,6642.024663523984
94,I2,6635.690667219467
95,I2,6629.547097895747
96,I2,6623.588229853887
97,I2,6617.808509370665
98,I2,6612.2025496977685
99,I2,6606.765126088415
100,I2,6601.49117092277
101,I2,6596.375768969122
102,I2,6591.414152510054
103,I2,6586.601697896335
104,I2,6581.93392009755
105,I2,6577.406468883648
106,I2,6573.015124598536
107,I2,6568.755794867526
108,I2,6564.624510384542
109,I2,6560.6174211447515
110,I2,6556.730792873454
111,I2,6552.961003570143
112,I2,6549.304544033746
113,I2,6545.757994712142
114,I2,6542.318046133879
115,I2,6538.981490398181
116,I2,6535.745233891111
117,I2,6532.606267761573
118,I2,6529.56166480761
119,I2,6526.608584256514
120,I2,6523.744272898716
121,I2,6520.9660620252635
122,I2,6518.271363428842
123,I2,6515.657666329014
124,I2,6513.122535154228
125,I2,6510.663607544583
126,I2,6508.278592250658
127,I2,6505.965266975056
128,I2,6503.721476247791
129,I2,6501.545129397101
